Nat	CS	Na	L	Corr	Target	Diff
105	4	2	3.180490	0.352381	0.360000	-0.007619
105	4	2	3.545480	0.314286	0.360000	-0.045714
105	5	2	3.180490	0.352381	0.360000	-0.007619
105	5	2	3.545480	0.314286	0.360000	-0.045714
105	5	2	4.762976	0.352381	0.360000	-0.007619
105	6	2	3.180490	0.352381	0.360000	-0.007619
105	6	2	3.545480	0.314286	0.360000	-0.045714
105	6	2	4.762976	0.352381	0.360000	-0.007619
105	6	2	5.508770	0.352381	0.360000	-0.007619
105	7	2	3.180490	0.352381	0.360000	-0.007619
105	7	2	3.545480	0.314286	0.360000	-0.045714
105	7	2	4.762976	0.352381	0.360000	-0.007619
105	7	2	5.508770	0.352381	0.360000	-0.007619
105	7	2	6.360980	0.352381	0.360000	-0.007619
105	7	2	6.551105	0.352381	0.360000	-0.007619
105	8	2	3.180490	0.352381	0.360000	-0.007619
105	8	2	3.545480	0.314286	0.360000	-0.045714
105	8	2	4.762976	0.352381	0.360000	-0.007619
105	8	2	5.508770	0.352381	0.360000	-0.007619
105	8	2	6.360980	0.352381	0.360000	-0.007619
105	8	2	6.551105	0.352381	0.360000	-0.007619
105	8	2	7.090960	0.314286	0.360000	-0.045714
105	8	2	7.282341	0.352381	0.360000	-0.007619
105	8	2	7.771566	0.352381	0.360000	-0.007619
105	9	2	3.180490	0.352381	0.360000	-0.007619
105	9	2	3.545480	0.314286	0.360000	-0.045714
105	9	2	4.762976	0.314286	0.360000	-0.045714
105	9	2	5.508770	0.352381	0.360000	-0.007619
105	9	2	6.360980	0.352381	0.360000	-0.007619
105	9	2	6.551105	0.352381	0.360000	-0.007619
105	9	2	7.090960	0.314286	0.360000	-0.045714
105	9	2	7.282341	0.352381	0.360000	-0.007619
105	9	2	7.771566	0.352381	0.360000	-0.007619
105	9	2	8.414786	0.352381	0.360000	-0.007619
105	9	2	8.979324	0.371429	0.360000	0.011429
105	10	2	3.180490	0.352381	0.360000	-0.007619
105	10	2	3.545480	0.314286	0.360000	-0.045714
105	10	2	4.762976	0.352381	0.360000	-0.007619
105	10	2	5.508770	0.314286	0.360000	-0.045714
105	10	2	6.360980	0.352381	0.360000	-0.007619
105	10	2	6.551105	0.371429	0.360000	0.011429
105	10	2	7.090960	0.314286	0.360000	-0.045714
105	10	2	7.282341	0.352381	0.360000	-0.007619
105	10	2	7.771566	0.333333	0.360000	-0.026667
105	10	2	8.414786	0.352381	0.360000	-0.007619
105	10	2	8.979324	0.333333	0.360000	-0.026667
105	10	2	9.131213	0.352381	0.360000	-0.007619
105	10	2	9.525953	0.333333	0.360000	-0.026667
105	10	2	9.541470	0.352381	0.360000	-0.007619
120	4	2	3.180490	0.366667	0.360000	0.006667
120	4	2	3.545480	0.400000	0.360000	0.040000
120	5	2	3.180490	0.366667	0.360000	0.006667
120	5	2	3.545480	0.400000	0.360000	0.040000
120	5	2	4.762976	0.366667	0.360000	0.006667
120	6	2	3.180490	0.366667	0.360000	0.006667
120	6	2	3.545480	0.400000	0.360000	0.040000
120	6	2	4.762976	0.366667	0.360000	0.006667
120	6	2	5.508770	0.366667	0.360000	0.006667
120	7	2	3.180490	0.366667	0.360000	0.006667
120	7	2	3.545480	0.400000	0.360000	0.040000
120	7	2	4.762976	0.366667	0.360000	0.006667
120	7	2	5.508770	0.366667	0.360000	0.006667
120	7	2	6.360980	0.366667	0.360000	0.006667
120	7	2	6.551105	0.366667	0.360000	0.006667
120	8	2	3.180490	0.366667	0.360000	0.006667
120	8	2	3.545480	0.400000	0.360000	0.040000
120	8	2	4.762976	0.366667	0.360000	0.006667
120	8	2	5.508770	0.333333	0.360000	-0.026667
120	8	2	6.360980	0.366667	0.360000	0.006667
120	8	2	6.551105	0.350000	0.360000	-0.010000
120	8	2	7.090960	0.400000	0.360000	0.040000
120	8	2	7.282341	0.366667	0.360000	0.006667
120	8	2	7.771566	0.366667	0.360000	0.006667
120	9	2	3.180490	0.366667	0.360000	0.006667
120	9	2	3.545480	0.400000	0.360000	0.040000
120	9	2	4.762976	0.333333	0.360000	-0.026667
120	9	2	5.508770	0.366667	0.360000	0.006667
120	9	2	6.360980	0.333333	0.360000	-0.026667
120	9	2	6.551105	0.366667	0.360000	0.006667
120	9	2	7.090960	0.400000	0.360000	0.040000
120	9	2	7.282341	0.350000	0.360000	-0.010000
120	9	2	7.771566	0.366667	0.360000	0.006667
120	9	2	8.414786	0.316667	0.360000	-0.043333
120	9	2	8.979324	0.366667	0.360000	0.006667
120	10	2	3.180490	0.300000	0.360000	-0.060000
120	10	2	3.545480	0.300000	0.360000	-0.060000
120	10	2	4.762976	0.350000	0.360000	-0.010000
120	10	2	5.508770	0.366667	0.360000	0.006667
120	10	2	6.360980	0.366667	0.360000	0.006667
120	10	2	6.551105	0.350000	0.360000	-0.010000
120	10	2	7.090960	0.300000	0.360000	-0.060000
120	10	2	7.282341	0.366667	0.360000	0.006667
120	10	2	7.771566	0.366667	0.360000	0.006667
120	10	2	8.414786	0.350000	0.360000	-0.010000
120	10	2	8.979324	0.333333	0.360000	-0.026667
120	10	2	9.131213	0.375000	0.360000	0.015000
120	10	2	9.525953	0.350000	0.360000	-0.010000
120	10	2	9.541470	0.366667	0.360000	0.006667
45	4	2	3.180490	0.377778	0.360000	0.017778
45	4	2	3.545480	0.466667	0.360000	0.106667
45	5	2	3.180490	0.377778	0.360000	0.017778
45	5	2	3.545480	0.466667	0.360000	0.106667
45	5	2	4.762976	0.377778	0.360000	0.017778
45	6	2	3.180490	0.377778	0.360000	0.017778
45	6	2	3.545480	0.466667	0.360000	0.106667
45	6	2	4.762976	0.333333	0.360000	-0.026667
45	6	2	5.508770	0.377778	0.360000	0.017778
45	7	2	3.180490	0.288889	0.360000	-0.071111
45	7	2	3.545480	0.466667	0.360000	0.106667
45	7	2	4.762976	0.333333	0.360000	-0.026667
45	7	2	5.508770	0.377778	0.360000	0.017778
45	7	2	6.360980	0.377778	0.360000	0.017778
45	7	2	6.551105	0.333333	0.360000	-0.026667
45	8	2	3.180490	0.288889	0.360000	-0.071111
45	8	2	3.545480	0.466667	0.360000	0.106667
45	8	2	4.762976	0.333333	0.360000	-0.026667
45	8	2	5.508770	0.288889	0.360000	-0.071111
45	8	2	6.360980	0.377778	0.360000	0.017778
45	8	2	6.551105	0.377778	0.360000	0.017778
45	8	2	7.090960	0.200000	0.360000	-0.160000
45	8	2	7.282341	0.377778	0.360000	0.017778
45	8	2	7.771566	0.333333	0.360000	-0.026667
45	9	2	3.180490	0.288889	0.360000	-0.071111
45	9	2	3.545480	0.466667	0.360000	0.106667
45	9	2	4.762976	0.333333	0.360000	-0.026667
45	9	2	5.508770	0.288889	0.360000	-0.071111
45	9	2	6.360980	0.377778	0.360000	0.017778
45	9	2	6.551105	0.377778	0.360000	0.017778
45	9	2	7.090960	0.200000	0.360000	-0.160000
45	9	2	7.282341	0.377778	0.360000	0.017778
45	9	2	7.771566	0.333333	0.360000	-0.026667
45	9	2	8.414786	0.333333	0.360000	-0.026667
45	9	2	8.979324	0.422222	0.360000	0.062222
45	10	2	3.180490	0.288889	0.360000	-0.071111
45	10	2	3.545480	0.466667	0.360000	0.106667
45	10	2	4.762976	0.333333	0.360000	-0.026667
45	10	2	5.508770	0.288889	0.360000	-0.071111
45	10	2	6.360980	0.377778	0.360000	0.017778
45	10	2	6.551105	0.377778	0.360000	0.017778
45	10	2	7.090960	0.200000	0.360000	-0.160000
45	10	2	7.282341	0.377778	0.360000	0.017778
45	10	2	7.771566	0.333333	0.360000	-0.026667
45	10	2	8.414786	0.333333	0.360000	-0.026667
45	10	2	8.979324	0.422222	0.360000	0.062222
45	10	2	9.131213	0.355556	0.360000	-0.004444
45	10	2	9.525953	0.422222	0.360000	0.062222
