3.180490 0.000000 0.000000
-1.590245 2.754385 0.000000
0.000000 0.000000 3.545480
-1.000000 -1.000000 -2.000000
2.000000 -1.000000 0.000000
-4.000000 -4.000000 2.000000
-0.999999 -2.000000 -1.000000 Ta
0.000001 -2.000000 -1.000000 Zr
1.000001 -2.000000 -1.000000 Ta
0.000001 -1.000000 -1.000000 Ta
-2.999999 -5.000000 1.000000 Ta
-1.999999 -5.000000 1.000000 Ta
-2.999999 -4.000000 1.000000 Ta
-2.999999 -4.000000 0.000000 Ta
-1.999999 -4.000000 0.000000 Ta
-0.999999 -4.000000 0.000000 Ta
-1.999999 -3.000000 0.000000 Ta
-0.999999 -3.000000 0.000000 Ta
0.000001 -3.000000 0.000000 Ta
-0.999999 -2.000000 0.000000 Ta
0.000001 -2.000000 0.000000 Zr
1.000001 -2.000000 0.000000 Ta
0.000001 -1.000000 0.000000 Ta
1.000001 -1.000000 0.000000 Ta
-2.999999 -6.000000 0.000000 Zr
-3.999999 -5.000000 0.000000 Ta
-2.999999 -5.000000 0.000000 Ta
-1.999999 -5.000000 0.000000 Ta
-1.999999 -4.000000 1.000000 Ta
-0.999999 -4.000000 1.000000 Ta
-1.999999 -3.000000 1.000000 Ta
-0.999999 -3.000000 1.000000 Ta
-0.999999 -4.000000 -1.000000 Zr
-1.999999 -3.000000 -1.000000 Zr
-0.999999 -3.000000 -1.000000 Ta
0.000001 -3.000000 -1.000000 Zr
-1.333333 -2.666667 -0.500000 B
-0.333333 -2.666667 -0.500000 B
-1.333333 -1.666667 -0.500000 B
-0.333333 -1.666667 -0.500000 B
0.666667 -1.666667 -0.500000 B
-0.333333 -0.666667 -0.500000 B
-3.333333 -4.666667 1.500000 B
-3.333333 -4.666667 0.500000 B
-2.333333 -4.666667 0.500000 B
-3.333333 -3.666667 0.500000 B
-2.333333 -3.666667 0.500000 B
-1.333333 -3.666667 0.500000 B
-2.333333 -2.666667 0.500000 B
-1.333333 -2.666667 0.500000 B
-0.333333 -2.666667 0.500000 B
-1.333333 -1.666667 0.500000 B
-0.333333 -1.666667 0.500000 B
-0.333333 -2.666667 -1.500000 B
-1.333333 -1.666667 -1.500000 B
-0.333333 -1.666667 -1.500000 B
0.666667 -1.666667 -1.500000 B
-4.333333 -4.666667 0.500000 B
-2.333333 -4.666667 1.500000 B
-3.333333 -3.666667 1.500000 B
-2.333333 -3.666667 1.500000 B
-2.333333 -4.666667 -0.500000 B
-3.333333 -3.666667 -0.500000 B
-2.333333 -3.666667 -0.500000 B
-1.333333 -3.666667 -0.500000 B
-2.333333 -2.666667 -0.500000 B
-1.666667 -2.333333 -0.500000 B
-0.666667 -2.333333 -0.500000 B
0.333333 -2.333333 -0.500000 B
-0.666667 -1.333333 -0.500000 B
0.333333 -1.333333 -0.500000 B
1.333333 -1.333333 -0.500000 B
-3.666667 -4.333333 1.500000 B
-3.666667 -4.333333 0.500000 B
-2.666667 -4.333333 0.500000 B
-1.666667 -4.333333 0.500000 B
-2.666667 -3.333333 0.500000 B
-1.666667 -3.333333 0.500000 B
-0.666667 -3.333333 0.500000 B
-1.666667 -2.333333 0.500000 B
-0.666667 -2.333333 0.500000 B
0.333333 -2.333333 0.500000 B
-0.666667 -1.333333 0.500000 B
-0.666667 -2.333333 -1.500000 B
0.333333 -2.333333 -1.500000 B
-0.666667 -1.333333 -1.500000 B
0.333333 -1.333333 -1.500000 B
-2.666667 -5.333333 0.500000 B
-2.666667 -4.333333 1.500000 B
-1.666667 -4.333333 1.500000 B
-2.666667 -3.333333 1.500000 B
-2.666667 -4.333333 -0.500000 B
-1.666667 -4.333333 -0.500000 B
-2.666667 -3.333333 -0.500000 B
-1.666667 -3.333333 -0.500000 B
-0.666667 -3.333333 -0.500000 B
